EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	21:19:21	0	0.1000	0.04236029125956279		_	_	_	_	0.03901061788201332	0.8846	0.885	0.7934	0.8848	_	0.8946	0.8949	0.8095	0.8947
1	21:26:28	0	0.1000	0.035485838696971285		_	_	_	_	0.03638359531760216	0.887	0.8874	0.7973	0.8872	_	0.8974	0.8977	0.8141	0.8975
2	21:33:37	0	0.1000	0.03221373033324181		_	_	_	_	0.03857650235295296	0.8727	0.8732	0.7745	0.8729	_	0.8841	0.8844	0.7925	0.8842
3	21:40:48	0	0.1000	0.029432619997364642		_	_	_	_	0.030178766697645187	0.895	0.8955	0.8104	0.8952	_	0.9033	0.9036	0.8239	0.9034
4	21:48:05	0	0.1000	0.0271776966433922		_	_	_	_	0.03192286565899849	0.8958	0.8963	0.8117	0.896	_	0.9078	0.9081	0.8314	0.9079
5	21:55:24	0	0.1000	0.02519313423583085		_	_	_	_	0.029424181208014488	0.8841	0.8846	0.7927	0.8843	_	0.8937	0.8939	0.808	0.8938
6	22:02:39	0	0.1000	0.023500936100014077		_	_	_	_	0.025317318737506866	0.9031	0.9035	0.8236	0.9033	_	0.914	0.9143	0.8419	0.9141
7	22:09:57	0	0.1000	0.021996894031104705		_	_	_	_	0.02456555888056755	0.9096	0.9101	0.8346	0.9098	_	0.9173	0.9176	0.8476	0.9174
